product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,valid_discount
"tizum HDMI to VGA Adapter Cable 1080P for Projector, Computer, Laptop, TV, Projectors & TV","Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",279,499,44%,3.7,10962,-220
7SEVEN® Compatible for Samsung Smart 4K Ultra HD TV Monitor Remote Control Replacement of Original Samsung TV Remote for LED OLED UHD QLED and Suitable for 6 7 8 Series Samsung TV with Hot Keys BN59-01259E,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",399,999,60%,3.6,493,-600
Tata Sky Universal Remote,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",230,499,54%,3.7,2960,-269
"Airtel DigitalTV DTH Television, Setup Box Remote Compatible for SD and HD Recording (Black)","Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",179,799,78%,3.7,2201,-620
"Gizga Essentials USB WiFi Adapter for PC, 150 Mbps Wireless Network Adapter for Desktop - Nano Size WiFi Dongle Compatible with Windows, Mac OS & Linux Kernel | WPA/WPA2 Encryption Standards| Black",Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,269,800,66%,3.6,10134,-531
"ZEBRONICS ZEB-USB150WF1 WiFi USB Mini Adapter Supports 150 Mbps Wireless Data, Comes with Advanced Security WPA/WPA2 encryption Standards",Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,290,349,17%,3.7,1977,-59
"LOHAYA Remote Compatible for Mi Smart LED TV 4A Remote Control (32""/43"") [ Compatible for Mi Tv Remote Control ] [ Compatible for Mi Smart LED Tv Remote Control ]","Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",249,799,69%,3.8,1079,-550
"Gilary Multi Charging Cable, 3 in 1 Nylon Braided Fast Charging Cable for iPhone Micro USB Type C Mobile Phone | Colour May Vary |",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,345,999,65%,3.7,1097,-654
Electvision Remote Control Compatible with Amazon Fire tv Stick (Pairing Manual Will be Back Side Remote Control)(P),"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",1299,1999,35%,3.6,590,-700
"Portronics Konnect Spydr 31 3-in-1 Multi Functional Cable with 3.0A Output, Tangle Resistant, 1.2M Length, Nylon Braided(Zebra)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,228,899,75%,3.8,132,-671
Remote Control Compatible for Amazon Fire Tv Stick Remote Control [ 3rd Gen ](Not Compatible for Fire TV Edition Smart TV) from basesailor,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",1499,3999,63%,3.7,37,-2500
Airtel DigitalTV DTH Remote SD/HD/HD Recording Compatible for Television (Shining Black ),"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",195,499,61%,3.7,1383,-304
"Skadioo WiFi Adapter for pc | Car Accessories, WiFi Dongle for pc | USB WiFi Adapter for pc | Wi-Fi Receiver 2.4GHz, 802.11b/g/n UNano Size WiFi Dongle Compatible Adapter,WiFi dongle for pc",Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,199,499,60%,3.7,612,-300
Sony TV - Remote Compatible for Sony LED Remote Control Works with Sony LED TV by Trend Trail Speed tech & Remote hi Remote & REO India only,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",205,499,59%,3.8,313,-294
LOHAYA Television Remote Compatible for VU LED LCD HD Tv Remote Control Model No :- EN2B27V,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",299,1199,75%,3.7,490,-900
Storite USB 2.0 A to Mini 5 pin B Cable for External HDDS/Camera/Card Readers 35cm,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,259,699,63%,3.8,2399,-440
"MYVN LTG to USB for Fast Charging & Data Sync USB Cable Compatible for iPhone 5/5s/6/6S/7/7+/8/8+/10/11, iPad Air/Mini, iPod and iOS Devices (1 M)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,252,999,75%,3.7,2249,-747
Tata Sky Universal Remote Compatible for SD/HD,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",204,599,66%,3.6,339,-395
Crypo™ Universal Remote Compatible with Tata Sky Universal HD & SD Set top Box (Also Works with All TV),"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",299,999,70%,3.8,928,-700
Astigo Compatible Remote for Airtel Digital Set Top Box (Pairing Required with TV Remote),"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",299,899,67%,3.8,425,-600
Remote Compatible for Samsung LED/LCD Remote Control Works with Samsung LED/LCD TV by Trend Trail,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",213,499,57%,3.7,246,-286
Electvision Remote Control for led Smart tv Compatible with VU Smart Led (Without Voice),"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",349,1999,83%,3.8,197,-1650
7SEVEN® Compatible for Mi tv Remote Control Original Suitable with Smart Android 4K LED Non Voice Command Xiaomi Redmi Remote of 4A Model 32 43 55 65 inches,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",349,799,56%,3.6,323,-450
7SEVEN® Compatible Vu Smart Tv Remote Control Suitable for Original 4K Android LED Ultra HD UHD Vu Tv Remote with Non Voice Feature without google assistant,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",499,899,44%,3.7,185,-400
SVM Products Unbreakable Set Top Box Stand with Dual Remote Holder (Black),"Electronics|HomeTheater,TV&Video|Accessories|TVMounts,Stands&Turntables|TVWall&CeilingMounts",96,399,76%,3.6,1796,-303
"KRISONS Thunder Speaker, Multimedia Home Theatre, Floor Standing Speaker, LED Display with Bluetooth, FM, USB, Micro SD Card, AUX Connectivity",Electronics|HomeAudio|Speakers|TowerSpeakers,2299,3999,43%,3.8,282,-1700
Amazon Brand - Solimo 3A Fast Charging Tough Type C USB Data Cable  – 1 Meter,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,119,299,60%,3.8,51,-180
"Astigo Compatible Remote Control for Mi Smart LED 4A (43""/32"")","Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",299,599,50%,3.7,708,-300
"Lava Charging Adapter Elements D3 2A Fast Charging Speed Usb Type C Data Cable, White",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,129,449,71%,3.7,41,-320
"PRUSHTI COVER AND BAGS, Protective Case for Airtel Xstream settop Box Remote Remote Control Pouch Cover Holder PU Leather Cover Holder(only Cover for Selling Purpose)","Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",199,499,60%,3.8,538,-300
Airtel DigitalTV HD Setup Box Remote,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",197,499,61%,3.8,136,-302
"WeCool Bluetooth Extendable Selfie Sticks with Wireless Remote and Tripod Stand, 3-in-1 Multifunctional Selfie Stick with Tripod Stand Compatible with iPhone/OnePlus/Samsung/Oppo/Vivo and All Phones",Electronics|Mobiles&Accessories|MobileAccessories|Photo&VideoAccessories|Tripods,539,1599,66%,3.8,14648,-1060
"PTron Boom Ultima 4D Dual Driver, in-Ear Gaming Wired Headphones with in-line Mic, Volume Control & Passive Noise Cancelling Boom 3 Earphones - (Dark Blue)","Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",299,1900,84%,3.6,18202,-1601
"SWAPKART Flexible Mobile Tabletop Stand, Metal Built, Heavy Duty Foldable Lazy Bracket Clip Mount Multi Angle Clamp for All Smartphones (Pack of 1), Multi Color",Electronics|Mobiles&Accessories|MobileAccessories|Mounts|Bedstand&DeskMounts,251,999,75%,3.7,3234,-748
"Tukzer Capacitive Stylus Pen for Touch Screens Devices, Fine Point, Lightweight Metal Body with Magnetism Cover Cap for Smartphones/Tablets/iPad/iPad Pro/iPhone (Grey)",Electronics|Mobiles&Accessories|MobileAccessories|StylusPens,349,999,65%,3.8,16557,-650
"Tukzer Capacitive Stylus Pen for Touch Screens Devices, Fine Point, Lightweight Metal Body with Magnetism Cover Cap for Smartphones/Tablets/iPad/iPad Pro/iPhone (White)",Electronics|Mobiles&Accessories|MobileAccessories|StylusPens,349,999,65%,3.8,16557,-650
"EN LIGNE Adjustable Cell Phone Stand, Foldable Portable Phone Stand Phone Holder for Desk, Desktop Tablet Stand Compatible with Mobile Phone/iPad/Tablet (Black)",Electronics|Mobiles&Accessories|MobileAccessories|Stands,209,499,58%,3.6,104,-290
"iPhone Original 20W C Type Fast PD Charger Compatible with I-Phone13/13 mini/13pro/13 pro Max I-Phone 12/12 Pro/12mini/12 Pro Max, I-Phone11/11 Pro/11 Pro Max 2020 (Only Adapter)",Electronics|Mobiles&Accessories|MobileAccessories|Chargers|WallChargers,799,3990,80%,3.8,119,-3191
"Lava A1 Josh 21(Blue Silver) -Dual Sim,Call Blink Notification,Military Grade Certified with 4 Day Battery Backup, Keypad Mobile",Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|BasicMobiles,1055,1249,16%,3.8,2352,-194
Prolet Classic Bumper Case Cover for Samsung Galaxy Watch 4 44mm TPU Plated Full Screen Protector (Black),Electronics|WearableTechnology|SmartWatches,265,999,73%,3.7,465,-734
"Storio Kids Toys LCD Writing Tablet 8.5Inch E-Note Pad Best Birthday Gift for Girls Boys, Multicolor (SC1667)","Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|GraphicTablets",217,237,8%,3.8,7354,-20
"HP w100 480P 30 FPS Digital Webcam with Built-in Mic, Plug and Play Setup, Wide-Angle View for Video Calling on Skype, Zoom, Microsoft Teams and Other Apps (Black)",Electronics|Cameras&Photography|VideoCameras,499,1999,75%,3.7,3369,-1500
"Tygot 10 Inches Big LED Ring Light for Camera, Phone tiktok YouTube Video Shooting and Makeup, 10"" inch Ring Light with 7 Feet Long Foldable and Lightweight Tripod Stand",Electronics|Cameras&Photography|Flashes|Macro&RinglightFlashes,799,1999,60%,3.8,12958,-1200
"ZEBRONICS Zeb-Comfort Wired USB Mouse, 3-Button, 1000 DPI Optical Sensor, Plug & Play, for Windows/Mac, Black","Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Mice",139,299,54%,3.8,3044,-160
"Quantum QHM-7406 Full-Sized Keyboard with (₹) Rupee Symbol, Hotkeys and 3-pieces LED function for Desktop/Laptop/Smart TV Spill-Resistant Wired USB Keyboard with 10 million keystrokes lifespan (Black)","Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboards",299,599,50%,3.8,3066,-300
"boAt Airdopes 181 in-Ear True Wireless Earbuds with ENx  Tech, Beast  Mode(Low Latency Upto 60ms) for Gaming, with Mic, ASAP  Charge, 20H Playtime, Bluetooth v5.2, IPX4 & IWP (Cool Grey)","Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",1598,2990,47%,3.8,11015,-1392
"E-COSMOS 5V 1.2W Portable Flexible USB LED Light (Colors May Vary, Small) - Set of 2 Pieces",Computers&Accessories|Accessories&Peripherals|USBGadgets|Lamps,59,59,0%,3.8,5958,0
"tizum HDMI to VGA Adapter Cable 1080P for Projector, Computer, Laptop, TV, Projectors & TV","Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",279,499,44%,3.7,10962,-220
"Tukzer Capacitive Stylus Pen for Touch Screens Devices, Fine Point, Lightweight Metal Body with Magnetism Cover Cap for Smartphones/Tablets/iPad/iPad Pro/iPhone (Grey)",Electronics|Mobiles&Accessories|MobileAccessories|StylusPens,349,999,65%,3.8,16557,-650
"Wembley LCD Writing Pad/Tab | Writing, Drawing, Reusable, Portable Pad with Colorful Letters | 9 Inch Graphic Tablet (Assorted)","Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|GraphicTablets",235,1599,85%,3.8,1173,-1364
"Gizga Essentials Multi-Purpose Portable & Foldable Wooden Desk for Bed Tray, Laptop Table, Study Table (Black)",Computers&Accessories|Accessories&Peripherals|LaptopAccessories|Lapdesks,549,1999,73%,3.6,6422,-1450
Noise Buds VS201 V2 in-Ear Truly Wireless Earbuds with Dual Equalizer | with Mic | Total 14-Hour Playtime | Full Touch Control | IPX5 Water Resistance and Bluetooth v5.1 (Olive Green),"Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",1299,2999,57%,3.8,14629,-1700
MAONO AU-400 Lavalier Auxiliary Omnidirectional Microphone (Black),MusicalInstruments|Microphones|Condenser,478,699,32%,3.8,20218,-221
"ZEBRONICS Zeb-Evolve Wireless in Ear Neckband Earphone with Supporting Bluetooth v5.0, Voice Assistant, Rapid Charge, Call Function & Magnetic Earpiece, with mic (Metallic Blue)","Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",499,1499,67%,3.6,9169,-1000
"Airtel AMF-311WW Data Card (Black), 4g Hotspot Support with 2300 Mah Battery",Computers&Accessories|NetworkingDevices|DataCards&Dongles,2099,3250,35%,3.8,11213,-1151
"ZEBRONICS Zeb-Buds 30 3.5Mm Stereo Wired in Ear Earphones with Mic for Calling, Volume Control, Multifunction Button, 14Mm Drivers, Stylish Eartip,1.2 Meter Durable Cable and Lightweight Design(Red)","Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",199,499,60%,3.6,2492,-300
"boAt Airdopes 191G True Wireless Earbuds with ENx™ Tech Equipped Quad Mics, Beast™ Mode(Low Latency- 65ms) for Gaming, 2x6mm Dual Drivers, 30H Playtime, IPX5, IWP™, Appealing Case LEDs(Sport Blue)","Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",1599,3490,54%,3.7,676,-1891
CP PLUS 2MP Full HD Smart Wi-fi CCTV Security Camera | 360° with Pan Tilt | Two Way Talk | Cloud Monitor | Motion Detect | Night Vision | Supports SD Card (Up to 128 GB) | Alexa & Ok Google | CP-E21A,Electronics|Cameras&Photography|SecurityCameras|DomeCameras,1999,4700,57%,3.8,1880,-2701
"Sony WI-C100 Wireless Headphones with Customizable Equalizer for Deep Bass & 25 Hrs Battery, DSEE-Upscale, Splash Proof, 360RA, Fast Pair, in-Ear Bluetooth Headset with mic for Phone Calls (Black)","Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",1599,2790,43%,3.6,2272,-1191
"Zebronics ZEB-VITA Wireless Bluetooth 10W Portable Bar Speaker With Supporting USB, SD Card, AUX, FM, TWS & Call Function",Electronics|HomeAudio|Speakers|BluetoothSpeakers,899,1199,25%,3.8,10751,-300
"ZEBRONICS Zeb-100HB 4 Ports USB Hub for Laptop, PC Computers, Plug & Play, Backward Compatible - Black",Computers&Accessories|Accessories&Peripherals|USBHubs,330,499,34%,3.7,8566,-169
"Silicone Rubber Earbuds Tips, Eartips, Earpads, Earplugs, for Replacement in Earphones and Bluetooth Medium Size (10 Pcs Black)","Electronics|Headphones,Earbuds&Accessories|Earpads",99,999,90%,3.8,594,-900
"Artis AR-45W-MG2 45 Watts MG2 Laptop Adapter/Charger Compatible with MB Air 13” & MB Air 11” (14.5 V, 3.1 A) Connector: MG2 (T Tip Connector)",Computers&Accessories|Accessories&Peripherals|LaptopAccessories|LaptopChargers&PowerSupplies,1699,3499,51%,3.6,7689,-1800
"E-COSMOS 5V 1.2W Portable Flexible USB LED Light (Colours May Vary, Small, EC-POF1)",Computers&Accessories|Accessories&Peripherals|USBGadgets|Lamps,39,39,0%,3.8,3344,0
Inventis 5V 1.2W Portable Flexible USB LED Light Lamp (Colors may vary),Computers&Accessories|Accessories&Peripherals|USBGadgets|Lamps,39,39,0%,3.6,13572,0
"Zebronics Astra 10 Portable Wireless BT v5.0 Speaker, 10W RMS Power, 15* Hours Backup, 2.25"" Drive Size, up to 6.4"" Mobile Holder Support, Carry Handle, USB, mSD, AUX Input and FM Radio with Antenna",Electronics|HomeAudio|Speakers|OutdoorSpeakers,799,1999,60%,3.7,418,-1200
"Gizga Essentials USB WiFi Adapter for PC, 150 Mbps Wireless Network Adapter for Desktop - Nano Size WiFi Dongle Compatible with Windows, Mac OS & Linux Kernel | WPA/WPA2 Encryption Standards| Black",Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,269,800,66%,3.6,10134,-531
